;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-1,025406508;0,17517225;0,025406508;1;-1,103760762;0,185991951;0,226400847;1;-0,164695895;0,246432274;-0,176520525;1;;-1,021914215;0,186525673;0,021914215;0,948;-0,916283924;0,175034118;0,018093249;0,951;-0,189387001;0,258479026;-0,053064993;0,952
2;-0,878512976;0,153949497;-0,121487024;1;-1,414364306;0,195091577;0,571515895;0;-0,54530678;0,236724329;1,726533901;1;;;;;;;;;;;;;
3;-1,254068055;0,205833759;0,254068055;1;-0,877711;0,193111819;-0,024765556;1;-0,394589126;0,295414726;0,972945628;1;;;;;;;;;;;;;
4;-1,001862618;0,17358953;0,001862618;1;-1,090281572;0,185850598;0,211423969;1;-0,135405441;0,252322717;-0,322972796;1;;;;;;;;;;;;;
5;-1,093748583;0,176365867;0,093748583;1;-0,863723918;0,16851475;-0,040306758;1;-0,093761826;0,247973849;-0,531190868;1;;;;;;;;;;;;;
6;-1,08565315;0,155966014;0,08565315;1;-0,753311651;0,147812944;-0,162987055;1;0,180996162;0,214567938;-1,904980808;1;;;;;;;;;;;;;
7;-1,02771412;0,177365926;0,02771412;1;-0,875443265;0,180797346;-0,027285261;1;-0,34377236;0,257916162;0,7188618;1;;;;;;;;;;;;;
8;-1,122830676;0,164114683;0,122830676;1;-0,864608097;0,159038949;-0,039324337;1;0,081122517;0,232821148;-1,405612585;1;;;;;;;;;;;;;
9;-1,532246027;0,200956176;0,532246027;0;-0,766452402;0,180909361;-0,14838622;1;0,17373199;0,276905275;-1,868659951;1;;;;;;;;;;;;;
10;-0,925897915;0,164188617;-0,074102085;1;-0,797885368;0,155376894;-0,113460702;1;-0,100614537;0,23184889;-0,496927314;1;;;;;;;;;;;;;
11;-1,213847423;0,182303534;0,213847423;1;-1,245716526;0,19821254;0,384129474;1;-0,079444365;0,260348497;-0,602778174;1;;;;;;;;;;;;;
12;-1,022410617;0,178455739;0,022410617;1;-1,046531747;0,17937817;0,162813053;1;-0,04777084;0,241579532;-0,761145798;1;;;;;;;;;;;;;
13;-0,896992528;0,206878371;-0,103007472;1;-0,782806439;0,191128768;-0,130215068;1;-0,735165465;0,300987967;2,675827327;1;;;;;;;;;;;;;
14;-1,142308538;0,168215364;0,142308538;1;-0,77551614;0,169634341;-0,1383154;1;-0,435378007;0,258734917;1,176890036;1;;;;;;;;;;;;;
15;-1,061119314;0,186672884;0,061119314;1;-1,090726077;0,183831342;0,211917863;1;-0,034446643;0,25196968;-0,827766784;1;;;;;;;;;;;;;
