;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-1,475140893;1,518058423;-3,950281785;1;0,408648818;0,472840822;0,362162726;1;0,940090129;0,831093232;0,880180258;1;;0,33222954;1,500765168;-0,335540921;0,884769539;0,298828943;0,390069665;-0,003903523;0,94;0,469063591;0,640625545;-0,061872818;0,946
2;1,339287252;0,72001225;1,678574504;1;0,222724022;0,329088213;-0,257586595;1;-0,529048984;0,57385755;-2,058097968;1;;;;;;;;;;;;;
3;0,576756437;0,958755074;0,153512873;1;1,099566387;0,336192347;2,665221289;0;0,654300345;0,589111379;0,308600689;1;;;;;;;;;;;;;
4;1,088375134;1,034981592;1,176750268;1;0,027639551;0,381473174;-0,907868163;1;-0,282006701;0,632108644;-1,564013402;1;;;;;;;;;;;;;
5;1,050422545;0,587678794;1,100845091;1;-0,06439607;0,279296107;-1,214653568;1;0,822114075;0,466687171;0,644228151;1;;;;;;;;;;;;;
6;1,091832058;0,730553902;1,183664117;1;-0,07698644;0,292019433;-1,256621466;1;1,140640488;0,531646289;1,281280976;1;;;;;;;;;;;;;
7;1,716653349;0,721763589;2,433306697;1;0,584164798;0,32525686;0,947215993;1;0,086922485;0,509150314;-0,82615503;1;;;;;;;;;;;;;
8;1,413587386;0,733245837;1,827174773;1;0,370992346;0,32012215;0,236641153;1;-0,227356815;0,540429781;-1,454713631;1;;;;;;;;;;;;;
9;-3,851817718;3,621417447;-8,703635435;1;0,778324941;0,447310934;1,59441647;1;0,750534884;0,743119082;0,501069767;1;;;;;;;;;;;;;
10;-0,955034465;2,516843743;-2,91006893;1;-0,115501871;0,566945161;-1,385006236;1;0,544955941;0,91000053;0,089911883;1;;;;;;;;;;;;;
11;1,767417348;0,516723644;2,534834696;0;0,777602926;0,261271215;1,592009754;1;0,110088407;0,410450248;-0,779823187;1;;;;;;;;;;;;;
12;1,763217927;0,801978838;2,526435855;1;0,014915991;0,342683299;-0,950280031;1;-0,293853951;0,604033675;-1,587707901;1;;;;;;;;;;;;;
13;-0,382219757;1,095979795;-1,764439514;1;1,025590437;0,363658157;2,418634791;0;1,122448942;0,622994518;1,244897885;1;;;;;;;;;;;;;
14;2,489479473;0,493738551;3,978958945;0;0,278509258;0,244376812;-0,071635807;1;-0,353384931;0,428428254;-1,706769862;0;;;;;;;;;;;;;
15;0,87652134;1,038039701;0,75304268;1;-0,272937974;0,367063936;-1,909793247;1;0,699319849;0,631124179;0,398639698;1;;;;;;;;;;;;;
16;1,56753917;0,650201238;2,13507834;1;0,127667353;0,352985087;-0,574442158;1;-0,695031549;0,53911702;-2,390063098;0;;;;;;;;;;;;;
17;0,100773539;1,146234603;-0,798452921;1;-0,036819396;0,421351573;-1,122731319;1;0,537216236;0,661748979;0,074432472;1;;;;;;;;;;;;;
18;0,029541891;1,433538181;-0,940916219;1;0,367995212;0,362284957;0,226650708;1;-0,279786461;0,654030518;-1,559572921;1;;;;;;;;;;;;;
19;0,066262232;1,400401664;-0,867475535;1;0,463059417;0,405222636;0,543531389;1;-0,407412691;0,715881603;-1,814825381;1;;;;;;;;;;;;;
20;-0,617982014;3,848883858;-2,235964028;1;0,203724263;0,502007441;-0,320919124;1;0,469723017;0,837905476;-0,060553966;1;;;;;;;;;;;;;
21;1,580080367;1,086826304;2,160160734;1;-0,240433366;0,388363782;-1,801444553;1;0,027570515;0,705568877;-0,944858969;1;;;;;;;;;;;;;
22;0,519732375;0,648300528;0,03946475;1;0,711280549;0,304086968;1,370935162;1;1,171990353;0,487521684;1,343980705;1;;;;;;;;;;;;;
23;2,109271864;0,579460866;3,218543729;0;0,216946681;0,257259736;-0,276844397;1;0,712214088;0,421343215;0,424428175;1;;;;;;;;;;;;;
24;0,900887885;0,714382538;0,801775771;1;0,186345542;0,336229028;-0,378848193;1;0,422445975;0,611737;-0,15510805;1;;;;;;;;;;;;;
25;0,714556056;0,691628526;0,429112112;1;0,738145072;0,312159095;1,460483572;1;0,792678176;0,490267453;0,585356353;1;;;;;;;;;;;;;
26;0,890956544;0,901280376;0,781913088;1;-0,13386485;0,38490986;-1,446216167;1;-0,407950747;0,599171614;-1,815901495;1;;;;;;;;;;;;;
27;-2,16767918;6,761784921;-5,335358359;1;0,561004187;0,525115753;0,870013958;1;-0,77130239;0,881668586;-2,542604781;1;;;;;;;;;;;;;
28;-0,467487533;1,225347006;-1,934975066;1;0,090578162;0,339862565;-0,698072792;1;2,191033335;0,655172342;3,382066671;0;;;;;;;;;;;;;
29;1,074005203;0,858727052;1,148010407;1;0,125521194;0,354919286;-0,581596021;1;0,061074103;0,627019693;-0,877851793;1;;;;;;;;;;;;;
30;1,724791294;0,54495138;2,449582588;0;0,46443245;0,257160752;0,548108166;1;0,010106618;0,402087717;-0,979786763;1;;;;;;;;;;;;;
31;1,871597051;0,542282458;2,743194102;0;-0,096005313;0,247521808;-1,320017709;1;0,851903181;0,432539117;0,703806363;1;;;;;;;;;;;;;
32;-5,053047489;2,283253316;-11,10609498;0;1,28186554;0,504580376;3,272885135;1;0,421143662;0,837687231;-0,157712677;1;;;;;;;;;;;;;
33;0,526477414;0,886209406;0,052954828;1;0,173942125;0,338962979;-0,420192916;1;0,90761188;0,615720211;0,81522376;1;;;;;;;;;;;;;
34;1,096022398;0,641332682;1,192044795;1;0,099453427;0,289574088;-0,668488576;1;1,148897526;0,495251013;1,297795051;1;;;;;;;;;;;;;
