"";"x"
"1";0,492
"2";0,494
"3";0,488
"4";0,508
"5";0,478
"6";0,463
"7";0,496
"8";0,454
"9";0,48
"10";0,477
"11";0,503
"12";0,464
"13";0,5
"14";0,475
"15";0,51
"16";0,5
"17";0,471
"18";0,483
"19";0,513
"20";0,48
"21";0,48
"22";0,471
"23";0,478
"24";0,455
"25";0,493
"26";0,462
"27";0,472
"28";0,515
"29";0,446
"30";0,486
"31";0,492
"32";0,446
"33";0,521
"34";0,494
"35";0,498
"36";0,537
"37";0,519
"38";0,491
"39";0,482
"40";0,505
"41";0,494
"42";0,501
"43";0,475
"44";0,5
"45";0,479
"46";0,491
"47";0,528
"48";0,447
"49";0,492
"50";0,491
"51";0,445
"52";0,502
"53";0,454
"54";0,503
"55";0,496
"56";0,493
"57";0,454
"58";0,469
"59";0,487
"60";0,459
"61";0,442
"62";0,465
"63";0,518
"64";0,456
"65";0,511
"66";0,485
"67";0,535
"68";0,475
"69";0,512
"70";0,516
"71";0,509
"72";0,474
"73";0,457
"74";0,483
"75";0,46
"76";0,465
"77";0,499
"78";0,503
"79";0,502
"80";0,465
"81";0,484
"82";0,477
"83";0,466
"84";0,479
"85";0,459
"86";0,512
"87";0,505
"88";0,519
"89";0,471
"90";0,535
"91";0,492
"92";0,461
"93";0,484
"94";0,502
"95";0,536
"96";0,502
"97";0,45
"98";0,506
"99";0,5
"100";0,48
"101";0,471
"102";0,454
"103";0,461
"104";0,472
"105";0,489
"106";0,53
"107";0,494
"108";0,498
"109";0,524
"110";0,512
"111";0,498
"112";0,48
"113";0,481
"114";0,463
"115";0,437
"116";0,498
"117";0,495
"118";0,448
"119";0,462
"120";0,456
"121";0,469
"122";0,465
"123";0,518
"124";0,471
"125";0,47
"126";0,469
"127";0,491
"128";0,465
"129";0,452
"130";0,446
"131";0,477
"132";0,487
"133";0,496
"134";0,497
"135";0,435
"136";0,48
"137";0,508
"138";0,487
"139";0,451
"140";0,516
"141";0,476
"142";0,443
"143";0,546
"144";0,506
"145";0,496
"146";0,493
"147";0,495
"148";0,492
"149";0,486
"150";0,507
"151";0,499
"152";0,486
"153";0,494
"154";0,509
"155";0,49
"156";0,469
"157";0,475
"158";0,48
"159";0,45
"160";0,499
"161";0,494
"162";0,464
"163";0,472
"164";0,472
"165";0,487
"166";0,516
"167";0,46
"168";0,467
"169";0,508
"170";0,476
"171";0,475
"172";0,464
"173";0,518
"174";0,513
"175";0,49
"176";0,478
"177";0,486
"178";0,48
"179";0,477
"180";0,517
"181";0,511
"182";0,465
"183";0,539
"184";0,459
"185";0,471
"186";0,516
"187";0,453
"188";0,488
"189";0,483
"190";0,483
"191";0,492
"192";0,506
"193";0,482
"194";0,487
"195";0,495
"196";0,477
"197";0,48
"198";0,49
"199";0,458
"200";0,479
"201";0,494
"202";0,45
"203";0,48
"204";0,48
"205";0,475
"206";0,497
"207";0,495
"208";0,488
"209";0,491
"210";0,482
"211";0,441
"212";0,504
"213";0,46
"214";0,493
"215";0,481
"216";0,485
"217";0,474
"218";0,512
"219";0,462
"220";0,507
"221";0,463
"222";0,466
"223";0,493
"224";0,464
"225";0,512
"226";0,459
"227";0,496
"228";0,492
"229";0,519
"230";0,495
"231";0,473
"232";0,494
"233";0,529
"234";0,531
"235";0,46
"236";0,467
"237";0,474
"238";0,514
"239";0,481
"240";0,505
"241";0,444
"242";0,5
"243";0,478
"244";0,526
"245";0,512
"246";0,463
"247";0,5
"248";0,516
"249";0,474
"250";0,475
"251";0,488
"252";0,487
"253";0,484
"254";0,449
"255";0,474
"256";0,49
"257";0,469
"258";0,486
"259";0,459
"260";0,476
"261";0,509
"262";0,473
"263";0,514
"264";0,499
"265";0,489
