;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
1;5,276440592;2,676584874;0,758813531;1;;;;;;;;;;3,808134564;2,420951049;0,269378188;0,944
2;2,284230457;1,699270781;-0,238589848;1;;mean;sd;bias;cp;;;;;;;;
3;4,281586956;2,780727416;0,427195652;1;;-1,046365677;0,392249794;0,046365677;0,955;;;;;;;;
4;4,351561791;2,653552318;0,450520597;1;;-0,935317173;0,373744951;0,039241303;0,95;;;;;;;;
5;0,545218017;0,924301303;-0,818260661;0;;-0,17705229;0,56231264;-0,114738548;0,949;;;;;;;;
6;2,760118353;1,586798184;-0,079960549;1;;0,455449635;0,708366502;-0,08910073;0,933;;;;;;;;
7;3,849027459;2,521806076;0,283009153;1;;0,312939152;0,209729148;0,043130508;0,948;;;;;;;;
8;1,931562059;1,236877398;-0,35614598;1;;0,491127088;0,349194428;-0,017745824;0,949;;;;;;;;
9;3,550915311;1,942158504;0,183638437;1;;3,808134564;2,420951049;0,269378188;0,944;;;;;;;;
10;3,763398081;2,397914903;0,254466027;1;;;;;;;;;;;;;
11;3,938569874;2,593659185;0,312856625;1;;;;;;;;;;;;;
12;1,912389021;1,273319213;-0,362536993;1;;;;;;;;;;;;;
13;1,730679131;1,546307571;-0,423106956;1;;;;;;;;;;;;;
14;2,226095116;1,365547974;-0,257968295;1;;;;;;;;;;;;;
15;6,551574542;3,503551515;1,183858181;1;;;;;;;;;;;;;
16;0,944051107;1,16009205;-0,685316298;1;;;;;;;;;;;;;
17;4,200595212;2,372513949;0,400198404;1;;;;;;;;;;;;;
18;6,385469426;3,413459359;1,128489809;1;;;;;;;;;;;;;
19;2,218776157;1,816095553;-0,260407948;1;;;;;;;;;;;;;
20;3,713056304;2,061122384;0,237685435;1;;;;;;;;;;;;;
21;2,508232485;1,568687123;-0,163922505;1;;;;;;;;;;;;;
22;0,924163278;1,490982548;-0,691945574;1;;;;;;;;;;;;;
23;3,905287225;2,354341146;0,301762408;1;;;;;;;;;;;;;
24;1,169455349;1,328290372;-0,61018155;1;;;;;;;;;;;;;
25;2,961103707;1,901813207;-0,012965431;1;;;;;;;;;;;;;
26;2,589315653;1,675790264;-0,136894782;1;;;;;;;;;;;;;
27;8,907166307;4,048841979;1,969055436;1;;;;;;;;;;;;;
28;3,389878401;2,281906449;0,129959467;1;;;;;;;;;;;;;
29;6,469313013;3,476100797;1,156437671;1;;;;;;;;;;;;;
30;3,025843278;2,690260841;0,008614426;1;;;;;;;;;;;;;
31;2,267292309;2,053632984;-0,244235897;1;;;;;;;;;;;;;
32;4,973196018;2,956245411;0,657732006;1;;;;;;;;;;;;;
33;5,746498902;3,360714661;0,915499634;1;;;;;;;;;;;;;
34;5,059523179;2,903664675;0,686507726;1;;;;;;;;;;;;;
35;2,267592206;1,316813508;-0,244135931;1;;;;;;;;;;;;;
36;3,783072657;1,873895055;0,261024219;1;;;;;;;;;;;;;
37;1,440828095;1,461282398;-0,519723968;1;;;;;;;;;;;;;
38;4,864560838;2,884684725;0,621520279;1;;;;;;;;;;;;;
39;3,247724513;2,24379679;0,082574838;1;;;;;;;;;;;;;
40;1,804845461;1,29156482;-0,398384846;1;;;;;;;;;;;;;
41;4,910570948;3,046317466;0,636856983;1;;;;;;;;;;;;;
42;10,47471373;5,122197422;2,491571242;1;;;;;;;;;;;;;
43;9,328716802;4,627558489;2,109572267;1;;;;;;;;;;;;;
44;5,160622001;2,437033991;0,720207334;1;;;;;;;;;;;;;
45;2,771596648;1,603078588;-0,076134451;1;;;;;;;;;;;;;
46;4,498494453;2,605361165;0,499498151;1;;;;;;;;;;;;;
47;0,358269161;0,868253969;-0,880576946;0;;;;;;;;;;;;;
