;mean;se;bias;cp;;mean;sd;bias;cp
1;3,847244851;1,663005151;0,28241495;1;;3,467078005;1,633682893;0,155692668;0,959
2;5,417796409;2,781307174;0,805932136;1;;;;;
3;1,513653791;1,028421638;-0,495448736;1;;;;;
4;3,671863777;1,681510149;0,223954592;1;;mean;sd;bias;cp
5;1,864748223;1,178626513;-0,378417259;1;;-1,040161227;0,281253316;0,040161227;0,942
6;6,628185744;2,736569332;1,209395248;1;;-0,914709082;0,273591557;0,016343425;0,944
7;1,67085858;1,061634845;-0,44304714;1;;-0,173878432;0,407998506;-0,130607839;0,942
8;6,266285293;2,559533658;1,088761764;1;;0,516316298;0,426478495;0,032632596;0,942
9;2,734013201;1,390301863;-0,088662266;1;;0,300266965;0,150300317;0,000889882;0,95
10;3,071058581;1,636633372;0,023686194;1;;0,472304784;0,26697921;-0,055390433;0,948
11;2,090079455;0,954227001;-0,303306848;1;;3,467078005;1,633682893;0,155692668;0,959
12;3,196884654;1,308844893;0,065628218;1;;;;;
13;3,60364346;1,337612635;0,201214487;1;;;;;
14;2,561824249;1,403641203;-0,146058584;1;;;;;
15;6,042653382;2,37368458;1,014217794;1;;;;;
16;2,582904096;1,357811145;-0,139031968;1;;;;;
17;4,997642935;2,088691919;0,665880978;1;;;;;
18;0,932184074;1,054752109;-0,689271975;0;;;;;
19;2,695609422;1,565305978;-0,101463526;1;;;;;
20;1,510110198;1,015465644;-0,496629934;1;;;;;
21;4,600641899;1,991226957;0,5335473;1;;;;;
22;5,396816273;2,143080275;0,798938758;1;;;;;
23;2,794069723;1,50190064;-0,068643426;1;;;;;
24;4,538311766;2,066629804;0,512770589;1;;;;;
25;5,162903833;2,204674588;0,720967944;1;;;;;
26;3,789257465;1,701604702;0,263085822;1;;;;;
27;5,361757438;2,138455079;0,787252479;1;;;;;
28;2,742837621;1,417933939;-0,085720793;1;;;;;
29;4,396204033;2,165810406;0,465401344;1;;;;;
30;5,171346147;2,271310069;0,723782049;1;;;;;
31;2,295343072;1,078874926;-0,234885643;1;;;;;
32;6,011319639;2,329196324;1,003773213;1;;;;;
33;3,387171879;1,430742299;0,129057293;1;;;;;
34;2,143722211;1,127130438;-0,28542593;1;;;;;
35;5,039559977;2,008367401;0,679853326;1;;;;;
36;4,78586903;1,992157038;0,595289677;1;;;;;
37;3,913002476;1,56625303;0,304334159;1;;;;;
38;2,552030636;1,32482008;-0,149323121;1;;;;;
39;3,024933967;1,593432437;0,008311322;1;;;;;
40;2,458382678;1,31263227;-0,180539107;1;;;;;
41;3,766813123;1,815798824;0,255604374;1;;;;;
42;1,271501469;1,218808658;-0,576166177;1;;;;;
43;3,30854864;1,561004292;0,102849547;1;;;;;
44;2,159593147;1,251082639;-0,280135618;1;;;;;
45;2,488060577;1,14919824;-0,170646474;1;;;;;
46;2,224507857;1,276850183;-0,258497381;1;;;;;
47;2,785516342;1,35093058;-0,071494553;1;;;;;
48;3,796771195;1,571134316;0,265590398;1;;;;;
49;3,537036061;1,602621923;0,17901202;1;;;;;
50;4,719319768;1,896522084;0,573106589;1;;;;;
51;1,28445634;0,805612223;-0,571847887;0;;;;;
52;2,293897094;1,024452645;-0,235367635;1;;;;;
53;3,803987922;1,725751087;0,267995974;1;;;;;
54;4,417953152;1,862498295;0,472651051;1;;;;;
55;4,520179106;1,963500102;0,506726369;1;;;;;
56;3,076682251;1,484149381;0,02556075;1;;;;;
57;2,468889301;1,203069976;-0,1770369;1;;;;;
58;2,617580097;1,331469341;-0,127473301;1;;;;;
59;4,666085508;1,991187282;0,555361836;1;;;;;
60;9,57444053;3,801701033;2,191480177;1;;;;;
61;2,815599184;1,450719092;-0,061466939;1;;;;;
62;2,784453987;1,415878631;-0,071848671;1;;;;;
63;3,534871899;1,574395208;0,178290633;1;;;;;
64;11,33926778;5,070206174;2,779755927;1;;;;;
65;2,349742797;1,073038089;-0,216752401;1;;;;;
66;2,908588248;1,514488204;-0,030470584;1;;;;;
67;3,939358558;1,897682585;0,313119519;1;;;;;
68;6,58859446;2,579330791;1,196198153;1;;;;;
69;2,024098787;1,115524963;-0,325300404;1;;;;;
70;3,102921177;1,504738906;0,034307059;1;;;;;
71;1,296945715;1,010270772;-0,567684762;1;;;;;
72;7,620142674;3,139811483;1,540047558;1;;;;;
73;4,799590767;1,982575969;0,599863589;1;;;;;
74;2,363767356;1,321658388;-0,212077548;1;;;;;
75;4,372573862;1,917437121;0,457524621;1;;;;;
76;2,432803134;1,31979794;-0,189065622;1;;;;;
77;4,877554293;2,016436017;0,625851431;1;;;;;
78;6,323468899;2,46780791;1,107822966;1;;;;;
79;5,107775534;2,138881288;0,702591845;1;;;;;
80;3,402369729;1,637667833;0,134123243;1;;;;;
81;4,173504949;1,837454128;0,391168316;1;;;;;
82;1,927707464;1,133747983;-0,357430845;1;;;;;
83;3,449615084;1,589483062;0,149871695;1;;;;;
84;2,911091038;1,428421581;-0,029636321;1;;;;;
85;5,481214775;2,243801108;0,827071592;1;;;;;
86;9,13171086;3,393484796;2,04390362;1;;;;;
87;2,626694431;1,217898931;-0,12443519;1;;;;;
88;3,446834863;1,524593209;0,148944954;1;;;;;
89;2,145039619;1,181276601;-0,284986794;1;;;;;
90;2,319274727;1,094511522;-0,226908424;1;;;;;
91;2,59440937;1,147579;-0,135196877;1;;;;;
92;3,122598304;1,666423125;0,040866101;1;;;;;
93;4,55197451;1,909609992;0,517324837;1;;;;;
94;3,979359877;1,953054423;0,326453292;1;;;;;
95;2,956282434;1,399894493;-0,014572522;1;;;;;
96;2,585312531;1,384134793;-0,138229156;1;;;;;
97;5,263663374;2,288739365;0,754554458;1;;;;;
98;1,50210568;0,976693;-0,499298107;1;;;;;
99;2,43247412;1,343042812;-0,189175293;1;;;;;
100;3,615410797;1,609765295;0,205136932;1;;;;;
