;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;-0,920980177;0,601229897;-0,079019823;1;-0,193687301;0,499199464;-0,612625397;1;-0,220944172;0,819123461;0,104720858;1;;-1,119367743;0,705106819;0,119367743;0,944;-0,501781567;0,665951406;0,003563134;0,95;-0,20215956;1,098319216;0,010797799;0,934
2;-1,778554885;0,654005119;0,778554885;1;0,053406715;0,554780882;-1,106813429;1;0,023533592;1,056113302;-1,117667959;1;;;;;;;;;;;;;
3;-1,232148217;0,754205929;0,232148217;1;-1,448105801;0,805063658;1,896211601;1;-0,251570925;1,063119223;0,257854624;1;;;;;;;;;;;;;
4;-1,494675795;0,544896132;0,494675795;1;-0,360076099;0,468719352;-0,279847803;1;0,796021675;0,780775604;-4,980108373;1;;;;;;;;;;;;;
5;-0,906428191;0,52097427;-0,093571809;1;-0,828194438;0,586368836;0,656388876;1;-0,2375287;0,896872702;0,187643498;1;;;;;;;;;;;;;
6;-0,07077543;0,876317776;-0,92922457;1;-0,197282843;0,809878922;-0,605434315;1;-1,334768457;1,389832649;5,673842287;1;;;;;;;;;;;;;
7;-1,15185696;0,484953815;0,15185696;1;-0,464765111;0,513439905;-0,070469779;1;-0,56326307;0,82961999;1,81631535;1;;;;;;;;;;;;;
8;-2,400555092;0,828624184;1,400555092;1;1,382464523;0,713453739;-3,764929045;0;0,116305649;0,970050856;-1,581528246;1;;;;;;;;;;;;;
9;-0,339515729;0,433692381;-0,660484271;1;-0,286181402;0,452115315;-0,427637196;1;-1,150135301;0,778851229;4,750676503;1;;;;;;;;;;;;;
10;-1,013048556;0,964398851;0,013048556;1;-1,950698623;0,862091685;2,901397247;1;-0,531279688;1,192085757;1,656398438;1;;;;;;;;;;;;;
11;-1,42829212;0,658412234;0,42829212;1;-0,592730883;0,551387733;0,185461766;1;0,557913844;0,941395265;-3,789569221;1;;;;;;;;;;;;;
12;-1,688885133;0,642972335;0,688885133;1;-0,165945869;0,575756209;-0,668108261;1;0,225143726;0,924164634;-2,125718628;1;;;;;;;;;;;;;
13;-0,979883732;0,65132429;-0,020116268;1;-0,897589856;0,509214078;0,795179711;1;0,417655009;0,963004229;-3,088275043;1;;;;;;;;;;;;;
14;-1,792922096;0,75578995;0,792922096;1;-1,005087277;0,685010735;1,010174554;1;0,769727795;1,092755373;-4,848638973;1;;;;;;;;;;;;;
15;-2,259821113;0,920349597;1,259821113;1;0,007049927;0,749403051;-1,014099853;1;0,149968486;1,292754307;-1,749842431;1;;;;;;;;;;;;;
16;-2,307352335;1,230071626;1,307352335;1;-0,01341306;0,858135376;-0,973173881;1;1,811913743;1,561099221;-10,05956871;1;;;;;;;;;;;;;
17;-0,581734037;0,743882201;-0,418265963;1;-2,691767221;1,043871577;4,383534441;0;-0,769738645;1,100055371;2,848693226;1;;;;;;;;;;;;;
18;-1,293832441;0,783523909;0,293832441;1;-0,041762655;0,676667787;-0,91647469;1;-2,378089801;1,055605354;10,890449;0;;;;;;;;;;;;;
19;-0,706977134;0,564483882;-0,293022866;1;-0,550471989;0,528068983;0,100943979;1;-0,039830709;0,865914565;-0,800846453;1;;;;;;;;;;;;;
20;-0,458857272;0,516461612;-0,541142728;1;-0,713568534;0,613570945;0,427137069;1;-1,630873119;1,000419911;7,154365594;1;;;;;;;;;;;;;
21;-1,022419651;0,628771371;0,022419651;1;0,166554951;0,595909603;-1,333109903;1;-0,159068207;0,966421273;-0,204658966;1;;;;;;;;;;;;;
22;-2,252302744;0,849884606;1,252302744;1;-0,085188673;0,694744795;-0,829622653;1;1,198301976;1,148004523;-6,991509878;1;;;;;;;;;;;;;
23;-0,325266419;0,403773929;-0,674733581;1;0,40160891;0,447695152;-1,80321782;0;-2,051887713;0,921453061;9,259438567;0;;;;;;;;;;;;;
24;-1,515528476;0,713035378;0,515528476;1;-1,566769807;0,756409801;2,133539613;1;0,799877283;1,130781481;-4,999386414;1;;;;;;;;;;;;;
25;-0,897834274;0,489502002;-0,102165726;1;-0,653031611;0,472896219;0,306063222;1;0,233896365;0,704713375;-2,169481823;1;;;;;;;;;;;;;
26;-1,850158611;0,763027044;0,850158611;1;0,543039454;0,674609085;-2,086078908;1;-0,711677585;0,88564399;2,558387924;1;;;;;;;;;;;;;
27;0,17641149;0,454682543;-1,17641149;0;-2,036229192;0,650189649;3,072458384;0;-0,972046003;0,718089328;3,860230017;1;;;;;;;;;;;;;
28;-1,106508039;0,498211124;0,106508039;1;-0,566290598;0,587356455;0,132581197;1;0,010435017;0,799452066;-1,052175084;1;;;;;;;;;;;;;
29;-1,278444529;0,49153475;0,278444529;1;-0,015964753;0,559309149;-0,968070494;1;-0,7527204;0,936710257;2,763601999;1;;;;;;;;;;;;;
30;-0,876485726;0,832724926;-0,123514274;1;-0,477094425;0,682838732;-0,04581115;1;-1,742063275;1,323565203;7,710316376;1;;;;;;;;;;;;;
31;-1,587987703;0,663646918;0,587987703;1;-0,481644182;0,459884212;-0,036711635;1;0,514073957;0,867640712;-3,570369785;1;;;;;;;;;;;;;
32;-1,77347852;0,573307197;0,77347852;1;0,031237849;0,450129774;-1,062475698;1;1,373636181;0,759790989;-7,868180905;0;;;;;;;;;;;;;
33;-1,211396243;0,601181217;0,211396243;1;0,634981957;0,534880464;-2,269963913;0;-2,448635826;0,956230279;11,24317913;0;;;;;;;;;;;;;
34;-0,191284004;0,516872195;-0,808715996;1;-0,316129543;0,474567349;-0,367740914;1;-1,690285099;0,784508477;7,451425493;1;;;;;;;;;;;;;
35;-1,42271182;0,905748029;0,42271182;1;-0,346865099;0,608078014;-0,306269803;1;0,827000281;0,924402727;-5,135001403;1;;;;;;;;;;;;;
36;-1,16973027;0,480187533;0,16973027;1;-1,601975953;0,623707871;2,203951906;1;-0,348288388;0,832441665;0,741441939;1;;;;;;;;;;;;;
37;-1,542421385;0,772622663;0,542421385;1;-0,778116723;0,727171917;0,556233446;1;-0,139505491;1,130917545;-0,302472544;1;;;;;;;;;;;;;
38;-0,410101578;0,920956131;-0,589898422;1;-2,398918073;0,916312232;3,797836146;0;-1,487557539;1,488498549;6,437787697;1;;;;;;;;;;;;;
39;-1,061545745;0,525850505;0,061545745;1;0,146906639;0,504759713;-1,293813277;1;-0,639797766;0,940785444;2,198988832;1;;;;;;;;;;;;;
40;-2,881279348;1,047075439;1,881279348;1;0,968242032;0,771961448;-2,936484063;1;1,153451562;1,383165569;-6,767257809;1;;;;;;;;;;;;;
41;-2,202257472;0,710506406;1,202257472;1;-0,150881235;0,609530133;-0,698237531;1;0,852299504;1,096998671;-5,261497521;1;;;;;;;;;;;;;
42;-1,887470719;0,972331674;0,887470719;1;0,134289472;0,727048104;-1,268578944;1;1,85816939;1,400482169;-10,29084695;1;;;;;;;;;;;;;
43;-1,099670612;0,531133348;0,099670612;1;-1,005185351;0,550224859;1,010370702;1;0,120290275;0,798165812;-1,601451373;1;;;;;;;;;;;;;
44;-0,370524617;0,627553515;-0,629475383;1;-0,538889532;0,506314642;0,077779065;1;0,259400157;0,848354668;-2,297000785;1;;;;;;;;;;;;;
45;-0,79699132;0,513951509;-0,20300868;1;-0,507585227;0,51789124;0,015170455;1;-2,186801332;0,968532539;9,934006662;0;;;;;;;;;;;;;
46;-0,899777204;0,446240359;-0,100222796;1;-0,771002016;0,567184922;0,542004031;1;-0,906403264;0,931752184;3,532016321;1;;;;;;;;;;;;;
47;-0,472137587;0,486373768;-0,527862413;1;-0,69793764;0,563114482;0,39587528;1;-0,617624575;0,828071236;2,088122876;1;;;;;;;;;;;;;
48;-1,973487685;1,012676971;0,973487685;1;-1,227494726;0,8936698;1,454989453;1;-0,086810453;1,532042907;-0,565947735;1;;;;;;;;;;;;;
49;-1,21022694;0,481500918;0,21022694;1;-1,152580499;0,646931884;1,305160997;1;-0,140166101;0,813095661;-0,299169495;1;;;;;;;;;;;;;
50;-0,040096042;0,570109631;-0,959903958;1;-1,358913255;0,605991211;1,717826509;1;-0,779119714;0,83658349;2,895598571;1;;;;;;;;;;;;;
51;-0,391037549;0,779502531;-0,608962451;1;-1,581146343;0,8344447;2,162292686;1;1,063777054;1,115428671;-6,318885268;1;;;;;;;;;;;;;
52;-0,19514608;0,459735877;-0,80485392;1;-0,763855913;0,499640906;0,527711826;1;-0,078841126;0,882584365;-0,605794371;1;;;;;;;;;;;;;
53;-1,985900315;0,77536504;0,985900315;1;0,208372234;0,599285252;-1,416744467;1;1,44824384;1,163009905;-8,241219198;1;;;;;;;;;;;;;
54;-1,272101063;0,563937198;0,272101063;1;-0,092477941;0,498248332;-0,815044117;1;0,193723467;0,803087757;-1,968617335;1;;;;;;;;;;;;;
55;-0,840664319;0,667234052;-0,159335681;1;-1,51113532;0,701298881;2,02227064;1;0,580129875;1,171998141;-3,900649373;1;;;;;;;;;;;;;
56;-2,560878903;0,925401669;1,560878903;1;-1,197622749;0,690853528;1,395245499;1;2,42579008;1,128636073;-13,1289504;0;;;;;;;;;;;;;
57;-2,014659697;0,970481579;1,014659697;1;-1,510823108;0,766829793;2,021646215;1;0,956146365;1,460381918;-5,780731827;1;;;;;;;;;;;;;
58;-1,129664965;0,650587342;0,129664965;1;-1,163530993;0,829394152;1,327061986;1;0,021176278;1,104981613;-1,105881391;1;;;;;;;;;;;;;
59;-1,073409345;0,466121724;0,073409345;1;0,115737679;0,438821019;-1,231475357;1;-0,760831103;0,780797692;2,804155515;1;;;;;;;;;;;;;
60;-1,087032428;0,531532332;0,087032428;1;-0,418843464;0,526152861;-0,162313071;1;-0,202515397;0,869591487;0,012576983;1;;;;;;;;;;;;;
61;-2,354120624;0,807305476;1,354120624;1;1,440744877;0,687242277;-3,881489754;0;0,199005479;0,89229492;-1,995027396;1;;;;;;;;;;;;;
62;-0,58065938;0,686848388;-0,41934062;1;-1,874073426;0,769600018;2,748146851;1;-1,542406684;1,179939207;6,712033422;1;;;;;;;;;;;;;
63;-1,013651419;0,6126242;0,013651419;1;-0,890411829;0,63119158;0,780823659;1;0,107610507;1,055250425;-1,538052534;1;;;;;;;;;;;;;
64;-1,142520021;0,630120709;0,142520021;1;-0,458800923;0,550394112;-0,082398154;1;-0,368618076;0,964772312;0,843090378;1;;;;;;;;;;;;;
65;-0,931277261;0,437509692;-0,068722739;1;-0,045883085;0,436909337;-0,90823383;1;0,11547693;0,772714066;-1,577384652;1;;;;;;;;;;;;;
66;-1,095135719;0,577393322;0,095135719;1;-1,250501181;0,578954997;1,501002363;1;1,354439552;0,890421468;-7,772197758;1;;;;;;;;;;;;;
67;-1,41006408;0,935316822;0,41006408;1;-1,893743972;0,81143736;2,787487944;1;0,579621501;1,364033122;-3,898107506;1;;;;;;;;;;;;;
68;-1,307109207;0,520821038;0,307109207;1;-1,116093801;0,596629234;1,232187602;1;-0,214484729;0,806725085;0,072423647;1;;;;;;;;;;;;;
69;-1,851874461;0,846597158;0,851874461;1;-1,791184089;0,794788309;2,582368177;1;2,393910948;1,271038792;-12,96955474;0;;;;;;;;;;;;;
70;-1,248434881;0,770858862;0,248434881;1;0,569093653;0,628300536;-2,138187307;1;-2,260472136;1,190886021;10,30236068;1;;;;;;;;;;;;;
71;-0,910030815;0,830872346;-0,089969185;1;0,473115266;0,804255742;-1,946230531;1;-0,846504224;1,273307812;3,232521122;1;;;;;;;;;;;;;
72;-1,085538773;0,538300624;0,085538773;1;-0,628926215;0,519363574;0,25785243;1;-0,092766809;0,82041518;-0,536165956;1;;;;;;;;;;;;;
73;-1,26828618;0,592016284;0,26828618;1;-0,695991639;0,692445641;0,391983277;1;-1,037905564;1,078480023;4,189527818;1;;;;;;;;;;;;;
74;-0,294627758;0,583028382;-0,705372242;1;-0,522328006;0,510165679;0,044656013;1;-0,456506665;0,878180022;1,282533325;1;;;;;;;;;;;;;
75;-0,61183236;0,412371213;-0,38816764;1;-0,329926158;0,421886467;-0,340147683;1;-0,162057687;0,723227505;-0,189711566;1;;;;;;;;;;;;;
76;-1,518379466;0,615954214;0,518379466;1;-2,022708289;0,771612124;3,045416578;0;1,685500321;1,35545391;-9,427501606;1;;;;;;;;;;;;;
77;-1,494636346;0,578242316;0,494636346;1;-0,519709473;0,586457157;0,039418945;1;0,571723492;0,879089197;-3,858617462;1;;;;;;;;;;;;;
78;-2,299246226;0,910902364;1,299246226;1;-1,252053373;0,693949885;1,504106746;1;2,372843283;1,373934585;-12,86421641;1;;;;;;;;;;;;;
79;-0,279673764;0,51171945;-0,720326236;1;-0,943419175;0,586155173;0,886838349;1;-1,315282749;0,932306615;5,576413746;1;;;;;;;;;;;;;
80;-2,29420243;0,733437397;1,29420243;1;-0,076438164;0,47529066;-0,847123673;1;1,437235489;0,900136556;-8,186177444;1;;;;;;;;;;;;;
81;-1,471541539;0,940038562;0,471541539;1;-0,246190017;0,579194182;-0,507619967;1;0,948284848;0,969085784;-5,741424241;1;;;;;;;;;;;;;
82;-1,249457927;0,685317344;0,249457927;1;-0,638143465;0,631948577;0,276286929;1;-0,380457032;0,940056262;0,902285159;1;;;;;;;;;;;;;
83;-1,609540542;0,624705786;0,609540542;1;0,513710336;0,525342836;-2,027420672;1;-0,624013504;0,988579887;2,12006752;1;;;;;;;;;;;;;
84;-0,420942027;0,664757922;-0,579057973;1;-0,722217965;0,624600364;0,444435929;1;-0,748277528;1,033735426;2,741387642;1;;;;;;;;;;;;;
85;-0,776491186;0,508818748;-0,223508814;1;-0,544081586;0,498567155;0,088163171;1;-1,307366908;0,870522751;5,536834538;1;;;;;;;;;;;;;
86;-1,61072168;0,693970998;0,61072168;1;-0,304739411;0,663432269;-0,390521177;1;-0,273612597;1,124769749;0,368062987;1;;;;;;;;;;;;;
87;-1,000328694;0,679767429;0,000328694;1;-1,084436688;0,663144702;1,168873375;1;-0,437283791;0,978279585;1,186418957;1;;;;;;;;;;;;;
88;-0,128019837;0,320448642;-0,871980163;0;-0,825047497;0,45999108;0,650094994;1;-0,977341404;0,618904637;3,886707022;1;;;;;;;;;;;;;
89;-0,757642754;0,539355337;-0,242357246;1;-1,55871028;0,696096612;2,11742056;1;-0,328865671;1,056229208;0,644328354;1;;;;;;;;;;;;;
90;-1,175693886;0,788186519;0,175693886;1;0,233199067;0,628417174;-1,466398134;1;0,031440462;1,187365362;-1,15720231;1;;;;;;;;;;;;;
