;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp
1;-0,896198747;0,300666339;-0,103801253;1;-0,431925392;0,269455678;-0,136149215;1;-0,31628147;0,486164122;0,581407352;1
2;-1,020376499;0,402833295;0,020376499;1;-1,25773994;0,375334088;1,515479881;0;0,140599653;0,580747454;-1,702998264;1
3;-1,013163007;0,287776821;0,013163007;1;-0,558784082;0,296665109;0,117568163;1;-0,022011879;0,489134402;-0,889940605;1
4;-0,780150155;0,220837494;-0,219849845;1;-0,733538518;0,27682635;0,467077035;1;-0,500037574;0,392204925;1,50018787;1
5;-1,151885954;0,438175631;0,151885954;1;0,212656323;0,372318451;-1,425312646;1;-1,069606723;0,653674144;4,348033613;1
6;-0,920278837;0,31504254;-0,079721163;1;-0,977238866;0,317857095;0,954477732;1;0,360666041;0,50550566;-2,803330207;1
7;-0,927753881;0,399011553;-0,072246119;1;-0,003146027;0,350437231;-0,993707946;1;-0,827759821;0,593507705;3,138799105;1
8;-0,494942997;0,297102426;-0,505057003;1;-0,187215336;0,297995696;-0,625569328;1;-0,899401354;0,505485225;3,497006771;1
9;-1,167728568;0,311236578;0,167728568;1;-0,696688937;0,29686226;0,393377873;1;0,505812328;0,445089071;-3,52906164;1
10;-0,63267506;0,350414538;-0,36732494;1;-0,827524053;0,326596986;0,655048106;1;0,042382171;0,536665516;-1,211910854;1
11;-1,235058345;0,365155655;0,235058345;1;-0,25758989;0,326463602;-0,484820221;1;0,1116859;0,492862282;-1,558429499;1
12;-0,963531528;0,301423053;-0,036468472;1;-0,488635437;0,279144489;-0,022729125;1;-0,257977609;0,477651684;0,289888046;1
13;-1,331689842;0,401573908;0,331689842;1;-0,811114492;0,347758943;0,622228985;1;0,741330322;0,580755665;-4,706651611;1
14;-1,165059888;0,291757442;0,165059888;1;-1,105993504;0,323056618;1,211987008;1;0,253986543;0,455449741;-2,269932717;1
15;-1,065545317;0,335312484;0,065545317;1;0,030001763;0,339162092;-1,060003527;1;-0,592887439;0,578926429;1,964437196;1
16;-0,684258617;0,266239301;-0,315741383;1;-0,542109627;0,301308537;0,084219254;1;-1,001452816;0,55880856;4,00726408;1
17;-0,703168622;0,345433587;-0,296831378;1;-0,335442263;0,312151419;-0,329115473;1;-0,879582454;0,577998339;3,39791227;1
18;-0,718003474;0,303528388;-0,281996526;1;-0,268553301;0,278984329;-0,462893398;1;-0,496129902;0,461846185;1,480649512;1
19;-1,232746364;0,279670486;0,232746364;1;-0,746656993;0,300241666;0,493313986;1;0,0359613;0,46491419;-1,179806502;1
20;-0,563745599;0,358474937;-0,436254401;1;-0,419659779;0,336735201;-0,160680441;1;-0,6832764;0,600335509;2,416381999;1
21;-0,791304809;0,239052603;-0,208695191;1;-0,654692621;0,268078724;0,309385242;1;-0,275697785;0,399511711;0,378488924;1
22;-1,211610023;0,319544255;0,211610023;1;-0,459814305;0,29839048;-0,080371391;1;0,612105473;0,482179845;-4,060527367;1
23;-0,982851034;0,346358915;-0,017148966;1;-0,467003915;0,323090714;-0,06599217;1;-0,599329705;0,571670912;1,996648527;1
24;-0,506326508;0,222627607;-0,493673492;0;-0,217724239;0,237725249;-0,564551522;1;-1,255441832;0,447683228;5,277209161;0
25;-1,080649484;0,294738818;0,080649484;1;-0,635767764;0,293649581;0,271535529;1;0,473559472;0,444847754;-3,367797358;1
26;-1,103350255;0,321427406;0,103350255;1;-0,895136135;0,344742847;0,790272271;1;-0,106952747;0,568125924;-0,465236266;1
27;-0,914882953;0,276170545;-0,085117047;1;-0,299511673;0,279683784;-0,400976653;1;-0,575458985;0,493590054;1,877294926;1
28;-1,545730417;0,350704944;0,545730417;1;0,024524587;0,302582504;-1,049049175;1;0,129110829;0,500222486;-1,645554144;1
29;-1,326197922;0,357512911;0,326197922;1;-0,031502697;0,323810855;-0,936994605;1;-0,099061676;0,551250524;-0,504691619;1
30;-1,407537595;0,394170738;0,407537595;1;-0,575987844;0,359102364;0,151975689;1;0,435403147;0,57622916;-3,177015733;1
31;-1,022413783;0,304777405;0,022413783;1;-0,645178122;0,279885255;0,290356243;1;0,511020431;0,453840562;-3,555102155;1
32;-1,068731919;0,321278016;0,068731919;1;0,007337068;0,290187102;-1,014674137;1;-0,278991534;0,554686565;0,39495767;1
33;-1,426510366;0,290088059;0,426510366;1;-0,413536753;0,225064541;-0,172926494;1;0,839771063;0,406394323;-5,198855315;0
