;mean;se;bias;cp;mean;se;bias;cp;mean;se;bias;cp;;mean;sd;bias;cp;mean;sd;bias;cp;mean;sd;bias;cp
1;0,709376791;0,224539895;0,182294651;1;0,027609388;0,166948904;-0,861953061;1;0,520960791;0,313822464;0,302401976;1;;0,579501972;0,212497633;-0,034163379;0,95;0,201914038;0,171838677;0,009570188;0,942;0,396330341;0,292350403;-0,009174149;0,948
2;0,573847001;0,245395555;-0,043588332;1;0,345346872;0,175813964;0,72673436;1;0,185166974;0,306476118;-0,537082565;1;;;;;;;;;;;;;
3;0,643859543;0,20652942;0,073099239;1;0,337432773;0,170592364;0,687163863;1;0,499260379;0,279417359;0,248150949;1;;;;;;;;;;;;;
4;0,293684934;0,181012371;-0,51052511;1;0,351941913;0,149522683;0,759709566;1;0,295014414;0,228306204;-0,262463964;1;;;;;;;;;;;;;
5;0,899680921;0,21611368;0,499468201;1;-0,042647866;0,169522871;-1,213239332;1;0,228108484;0,289258626;-0,42972879;1;;;;;;;;;;;;;
6;0,786786873;0,234571698;0,311311455;1;0,623373262;0,17842626;2,116866308;0;-0,168979687;0,319401309;-1,422449218;1;;;;;;;;;;;;;
7;0,502606156;0,254213328;-0,162323073;1;0,136184261;0,195448127;-0,319078695;1;0,820623256;0,307803841;1,05155814;1;;;;;;;;;;;;;
8;0,796418764;0,24176012;0,327364607;1;0,102631848;0,186916251;-0,486840761;1;0,783038438;0,313902021;0,957596094;1;;;;;;;;;;;;;
9;0,357104197;0,200793573;-0,404826338;1;0,230414475;0,173493901;0,152072377;1;0,381231518;0,270676439;-0,046921205;1;;;;;;;;;;;;;
10;0,336840391;0,242289625;-0,438599349;1;0,444439481;0,18337572;1,222197403;1;0,493298688;0,331536807;0,233246719;1;;;;;;;;;;;;;
11;0,896870758;0,2143522;0,494784596;1;0,201307218;0,16216299;0,00653609;1;-0,033238628;0,267727761;-1,08309657;1;;;;;;;;;;;;;
12;0,468996536;0,203422692;-0,218339106;1;0,256780394;0,156398162;0,283901971;1;0,554855853;0,274288689;0,387139633;1;;;;;;;;;;;;;
13;0,709058064;0,209279099;0,18176344;1;0,381608033;0,157019086;0,908040167;1;0,127113501;0,261859633;-0,682216248;1;;;;;;;;;;;;;
14;0,556850397;0,210032119;-0,071916005;1;0,454200378;0,164922115;1,271001889;1;0,3501139;0,270459946;-0,124715249;1;;;;;;;;;;;;;
15;0,599519787;0,214244422;-0,000800356;1;0,012951809;0,17491255;-0,935240956;1;0,693515121;0,295545976;0,733787802;1;;;;;;;;;;;;;
16;0,347457962;0,205424279;-0,420903397;1;0,194735652;0,161979982;-0,026321739;1;1,061630613;0,274262948;1,654076533;0;;;;;;;;;;;;;
17;0,383017911;0,233143852;-0,361636815;1;-0,008555161;0,174433073;-1,042775803;1;0,941479759;0,315789084;1,353699397;1;;;;;;;;;;;;;
18;0,440568707;0,213587746;-0,265718822;1;0,083246334;0,165501592;-0,583768329;1;0,29318489;0,27824994;-0,267037776;1;;;;;;;;;;;;;
19;0,450769225;0,191963884;-0,248717959;1;0,408445862;0,145442037;1,042229311;1;0,364463018;0,255105544;-0,088842454;1;;;;;;;;;;;;;
20;0,941637477;0,24767191;0,569395796;1;0,1821605;0,180201522;-0,089197501;1;0,348771478;0,327979015;-0,128071304;1;;;;;;;;;;;;;
21;0,362023273;0,190318195;-0,396627878;1;0,265907812;0,156879159;0,329539061;1;0,423368057;0,258721414;0,058420144;1;;;;;;;;;;;;;
22;0,527564236;0,215529233;-0,120726273;1;0,244709119;0,168065008;0,223545595;1;0,28179048;0,262905009;-0,295523799;1;;;;;;;;;;;;;
