"";"x"
"1";0,513333333333333
"2";0,6
"3";0,496666666666667
"4";0,543333333333333
"5";0,573333333333333
"6";0,543333333333333
"7";0,63
"8";0,503333333333333
"9";0,586666666666667
"10";0,576666666666667
"11";0,51
"12";0,496666666666667
"13";0,51
"14";0,543333333333333
"15";0,573333333333333
"16";0,53
"17";0,586666666666667
"18";0,546666666666667
"19";0,496666666666667
"20";0,506666666666667
"21";0,523333333333333
"22";0,543333333333333
"23";0,606666666666667
"24";0,56
"25";0,51
"26";0,52
"27";0,536666666666667
"28";0,566666666666667
"29";0,54
"30";0,59
"31";0,543333333333333
"32";0,583333333333333
"33";0,516666666666667
"34";0,506666666666667
"35";0,563333333333333
"36";0,533333333333333
"37";0,603333333333333
"38";0,576666666666667
"39";0,556666666666667
"40";0,576666666666667
"41";0,593333333333333
"42";0,606666666666667
"43";0,553333333333333
"44";0,59
"45";0,556666666666667
"46";0,596666666666667
"47";0,583333333333333
"48";0,566666666666667
"49";0,56
"50";0,506666666666667
"51";0,556666666666667
"52";0,543333333333333
"53";0,503333333333333
"54";0,536666666666667
"55";0,616666666666667
"56";0,533333333333333
"57";0,576666666666667
"58";0,5
"59";0,566666666666667
"60";0,55
"61";0,533333333333333
"62";0,533333333333333
"63";0,583333333333333
"64";0,533333333333333
"65";0,53
"66";0,543333333333333
"67";0,56
"68";0,58
"69";0,533333333333333
"70";0,55
"71";0,483333333333333
"72";0,54
"73";0,493333333333333
"74";0,556666666666667
"75";0,483333333333333
"76";0,52
"77";0,533333333333333
"78";0,536666666666667
"79";0,586666666666667
"80";0,496666666666667
"81";0,62
"82";0,526666666666667
"83";0,566666666666667
"84";0,57
"85";0,513333333333333
"86";0,57
"87";0,583333333333333
"88";0,61
"89";0,496666666666667
"90";0,573333333333333
"91";0,563333333333333
"92";0,58
"93";0,47
"94";0,57
"95";0,526666666666667
"96";0,54
"97";0,61
"98";0,526666666666667
"99";0,506666666666667
"100";0,496666666666667
"101";0,586666666666667
"102";0,516666666666667
"103";0,533333333333333
"104";0,516666666666667
"105";0,563333333333333
"106";0,536666666666667
"107";0,51
"108";0,563333333333333
"109";0,533333333333333
"110";0,54
"111";0,55
"112";0,51
"113";0,536666666666667
"114";0,53
"115";0,496666666666667
"116";0,506666666666667
"117";0,583333333333333
"118";0,57
"119";0,476666666666667
"120";0,56
"121";0,496666666666667
"122";0,566666666666667
"123";0,563333333333333
"124";0,5
"125";0,58
"126";0,56
"127";0,52
"128";0,55
"129";0,556666666666667
"130";0,58
"131";0,576666666666667
"132";0,526666666666667
"133";0,566666666666667
"134";0,526666666666667
"135";0,526666666666667
"136";0,56
"137";0,616666666666667
"138";0,54
"139";0,54
"140";0,523333333333333
"141";0,506666666666667
"142";0,546666666666667
"143";0,62
"144";0,593333333333333
"145";0,53
"146";0,57
"147";0,546666666666667
"148";0,516666666666667
"149";0,55
"150";0,586666666666667
"151";0,533333333333333
"152";0,536666666666667
"153";0,546666666666667
"154";0,506666666666667
"155";0,6
"156";0,576666666666667
"157";0,52
"158";0,55
"159";0,536666666666667
"160";0,57
"161";0,483333333333333
"162";0,506666666666667
"163";0,506666666666667
"164";0,59
"165";0,56
"166";0,556666666666667
"167";0,533333333333333
"168";0,62
"169";0,51
"170";0,546666666666667
"171";0,523333333333333
"172";0,51
"173";0,566666666666667
"174";0,54
"175";0,49
"176";0,493333333333333
"177";0,613333333333333
"178";0,61
"179";0,53
"180";0,576666666666667
"181";0,503333333333333
