;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
1;0,576120157;0,161592435;0,152240315;1;;;;;;;;;;0,500469823;0,167934235;0,000939647;0,924
2;0,457045017;0,17901494;-0,085909966;1;;mean;sd;bias;cp;;;;;;;;
3;0,596100793;0,167822239;0,192201586;1;;-1,021943569;0,334824542;0,021943569;0,942;;;;;;;;
4;0,304141476;0,106959173;-0,391717049;1;;-0,501412995;0,333013906;0,002825991;0,934;;;;;;;;
5;0,486368219;0,180799117;-0,027263562;1;;-0,214417495;0,543590563;0,072087477;0,94;;;;;;;;
6;0,681689236;0,207804657;0,363378472;1;;0,579501972;0,212497633;-0,034163379;0,95;;;;;;;;
7;0,76446459;0,281599068;0,52892918;1;;0,201914038;0,171838677;0,009570188;0,942;;;;;;;;
8;0,938986674;0,268127605;0,877973349;1;;0,396330341;0,292350403;-0,009174149;0,948;;;;;;;;
9;0,449894912;0,167230319;-0,100210175;1;;0,500469823;0,167934235;0,000939647;0,924;;;;;;;;
10;0,626382918;0,238976663;0,252765837;1;;;;;;;;;;;;;
11;0,473675714;0,154081012;-0,052648571;1;;;;;;;;;;;;;
12;0,434485999;0,13025265;-0,131028002;1;;;;;;;;;;;;;
13;0,424632124;0,142548276;-0,150735752;1;;;;;;;;;;;;;
14;0,50734466;0,150289278;0,01468932;1;;;;;;;;;;;;;
15;0,543303607;0,198970397;0,086607215;1;;;;;;;;;;;;;
16;0,489809935;0,156672917;-0,02038013;1;;;;;;;;;;;;;
17;0,545701788;0,208877123;0,091403576;1;;;;;;;;;;;;;
18;0,41806641;0,168548953;-0,16386718;1;;;;;;;;;;;;;
19;0,321692778;0,100642306;-0,356614444;1;;;;;;;;;;;;;
20;0,770228816;0,231530015;0,540457632;1;;;;;;;;;;;;;
21;0,396587773;0,126290269;-0,206824454;1;;;;;;;;;;;;;
22;0,48916331;0,173379693;-0,021673381;1;;;;;;;;;;;;;
23;0,521529179;0,18649804;0,043058358;1;;;;;;;;;;;;;
24;0,589120245;0,183474937;0,17824049;1;;;;;;;;;;;;;
25;0,530476148;0,1646919;0,060952296;1;;;;;;;;;;;;;
