;mean;se;bias;cp;;mean;sd;bias;cp
1;0,370416034;0,089494705;-0,259167932;1;;0,498216706;0,124746969;-0,003566589;0,926
2;0,473325044;0,132053763;-0,053349913;1;;;;;
3;0,350797743;0,097397457;-0,298404515;1;;mean;sd;bias;cp
4;0,22578395;0,064640132;-0,548432099;0;;-1,016397434;0,240962749;0,016397434;0,942
5;0,567368488;0,126192059;0,134736976;1;;-0,522503637;0,238241317;0,045007275;0,944
6;0,558871632;0,122026696;0,117743263;1;;-0,181862189;0,399024805;-0,090689057;0,942
7;0,561943849;0,14558169;0,123887697;1;;0,592005401;0,168565414;-0,013324331;0,945
8;0,468372909;0,116222225;-0,063254182;1;;0,203335633;0,13183239;0,016678165;0,942
9;0,523117856;0,122635242;0,046235712;1;;0,388548381;0,226009759;-0,028629047;0,946
10;0,607793022;0,144238705;0,215586045;1;;0,498216706;0,124746969;-0,003566589;0,926
11;0,490786599;0,117425671;-0,018426803;1;;;;;
12;0,305450589;0,07595626;-0,389098822;0;;;;;
13;0,290805843;0,077931068;-0,418388313;0;;;;;
14;0,58609633;0,143218569;0,172192661;1;;;;;
15;0,319480381;0,0923456;-0,361039239;1;;;;;
16;0,170625343;0,059272918;-0,658749314;0;;;;;
17;0,302139194;0,085365101;-0,395721612;0;;;;;
18;0,419948577;0,112854461;-0,160102846;1;;;;;
19;0,729139217;0,163286955;0,458278434;1;;;;;
20;0,544878812;0,131376095;0,089757623;1;;;;;
21;0,406051516;0,115754087;-0,187896968;1;;;;;
22;0,514649334;0,128325452;0,029298668;1;;;;;
23;0,367167445;0,097636982;-0,265665111;1;;;;;
24;0,505625582;0,131212766;0,011251164;1;;;;;
25;0,745817253;0,162608387;0,491634507;1;;;;;
26;0,549871179;0,135440313;0,099742357;1;;;;;
27;0,348416026;0,096832513;-0,303167948;1;;;;;
28;0,585852787;0,136701315;0,171705573;1;;;;;
29;0,545964663;0,125376067;0,091929325;1;;;;;
30;0,633737598;0,154469194;0,267475195;1;;;;;
31;0,565401382;0,143046219;0,130802763;1;;;;;
32;0,627149692;0,149394566;0,254299385;1;;;;;
33;0,638631121;0,146018421;0,277262242;1;;;;;
34;0,546830987;0,123298243;0,093661974;1;;;;;
35;0,278064545;0,076685766;-0,443870911;0;;;;;
36;0,50882804;0,124953248;0,01765608;1;;;;;
37;0,418872915;0,095981591;-0,16225417;1;;;;;
38;0,443844477;0,121175284;-0,112311047;1;;;;;
39;0,384108167;0,090730874;-0,231783667;1;;;;;
40;0,499335215;0,114284754;-0,00132957;1;;;;;
41;0,454948555;0,122144488;-0,09010289;1;;;;;
42;0,583355668;0,140258495;0,166711336;1;;;;;
43;0,500444287;0,11067761;0,000888573;1;;;;;
44;0,407846671;0,103505679;-0,184306658;1;;;;;
45;0,399871852;0,112521099;-0,200256295;1;;;;;
46;0,496962198;0,12296117;-0,006075605;1;;;;;
47;0,658432208;0,159644589;0,316864415;1;;;;;
48;0,343001041;0,09086279;-0,313997918;1;;;;;
49;0,473108929;0,113668171;-0,053782141;1;;;;;
50;0,483629478;0,138784964;-0,032741045;1;;;;;
51;0,348450613;0,091324021;-0,303098775;1;;;;;
52;0,808675442;0,196166982;0,617350884;1;;;;;
53;0,604405256;0,137952788;0,208810512;1;;;;;
54;0,613195391;0,170690072;0,226390782;1;;;;;
55;0,547047989;0,137424629;0,094095978;1;;;;;
56;0,467447563;0,122131485;-0,065104875;1;;;;;
57;0,422495182;0,129996635;-0,155009636;1;;;;;
58;0,55672954;0,139071584;0,11345908;1;;;;;
59;0,414730204;0,112157725;-0,170539591;1;;;;;
